Site Name,Address,"Category
BCR=Bar, Club, or Restraurant
R=Residence
PV=Performance Avenue
CEI=Cultural or Educational Institutions
OCS=Organization or Community Spaces
        PS=Public Spaces       
SB=Store or Business ","Status
(Y=Existent; N=Non-Existent)","Cultural
Specifier
 Needed
(Y=yes; N=no)",Source Index
Gay Activist Alliance Firehouse,99 WOOSTER STREET,OCS,Y,N,2
Hetrick-Martin Institute,401 WEST STREET,OCS,Y,N,2
Medusa's Revenge,10 BLEECKER STREET,OCS,Y,YG,2
Randy Wicker's Uplife Lighting Corp.,506 HUDSON STREET,OCS,Y,N,2
Randy Wicker's Underground Uplift Unlimited,28 ST MARKS PL,OCS,Y,N,2
SAGE at the Church of St. Luke's in the Fields,479-485 HUDSON STREET,OCS,Y,N,2
Street Tranversite Action Revolutionaries House,213 EAST 2ND STREET,OCS,Y,N,2
Webster Hall,125 EAST 11TH STREET,OCS,Y,N,2
Gay Activists Alliance Community,180 CHRISTOPHER STREET,PS,Y,G,1
NYC AIDS Memorial,St. VINCENT'S TRIANGLE,PS,Y,N,1
Stonewall National Monument,CHRISTOPHER PARK,PS,Y,N,1
Elmer Ephraim Ellsworth Flagpole,CHRISTOPHER PARK,PS,Y,N,1
Gay Activists Alliance Zaps,70 EAST 10TH STREET,PS,Y,G,1
Harvey Milk High School,2 ASTOR PLACE,PS,Y,Y,2
Judson Memorial Church,55 WASHINGTON SQUARE SOUTH,PS,Y,Y,2
St. Joseph's Church,371 SIXTH AVENUE,PS,Y,Y,2
Washington Square Methodist Episcopal Church,135 WEST 4TH STREET,PS,Y,Y,2
Wigstock Festival,TOMPKINS SQUARE PARK,PS,Y,N,2
Metropolitan-Duane United Methodist Church,201 WEST 13TH STREET,PS,Y,Y,4
The Women's House Of Detention,10 GREENWICH AVENUE,PS,Y,G,4
Merce Cunningham Dance Company,55 BETHUNE STREET,PV,Y,G,1
Circle Repertory Company Theater,99 SEVENTH AVENUE SOUTH,PV,Y,G,1
Caffe Cino,31 CORNELIA STREET,PV,Y,N,1
Cafe Society,1 SHERIDAN SQUARE,PV,Y,G,1
Ridiculous Theatrical Company,1 SHERIDAN SQUARE,PV,Y,G,1
The Other Side of Silence (TOSOS) ,115 BEDFORD STREET,PV,Y,N,3
Eighty-Eight's,228 WEST 10TH STREET,PV,Y,G,3
Reno Sweeney,126 WEST 13TH STREET,PV,Y,G,3
Cherry Lane Theater,75A BEDFORD STREET,PV,Y,Y,5
James Baldwin Residence,81 HORATIO STREET,R,Y,G,1
Westbeth Artists' Housing,445-465 WEST STREET,R,Y,G,1
Robert Rygor Residence,338 WEST 11TH STREET,R,Y,G,1
Jimmie Daniels Residence,109 BANK STREET,R,Y,G,1
Pauline Newman & Frieda Miller Residence,299 WEST 12TH STREET,R,Y,G,1
Margaret Wise Brown Writing Studio,121 CHARLES STREET,R,Y,G,1
Caroline Pratt & Helen Marot Residence,252 WEST 12TH STREET,R,Y,G,1
Marion Dickerman & Nancy Cook Residence,171 WEST 12TH STREET,R,Y,G,1
